termid,term,full_name,is_drug,do_not_define,start,end,def,sentenceid,sentence,lead_def
13471,gradient echo,,0,0,27,29,A procedure used when an MRI machine takes pictures inside of the body.,3098298,"TECHNIQUE : MRCP of the abdomen was performed using 3 plane localizer , axial and coronal single short fast spin - echo T2 , axial fat suppressed gradient echo T1 , thick slap MRCP weighted sequences .",aprocedureusedwhenanmrimachinetakespicturesinsideofthebody
11456,echocardiogram,,0,0,21,22,Picture of the heart made with sound waves.,3098298,"TECHNIQUE : MRCP of the abdomen was performed using 3 plane localizer , axial and coronal single short fast spin - echo T2 , axial fat suppressed gradient echo T1 , thick slap MRCP weighted sequences .",pictureoftheheartmadewithsoundwaves
14881,technique,,0,0,0,1,A method or test to obtain results.,3098298,"TECHNIQUE : MRCP of the abdomen was performed using 3 plane localizer , axial and coronal single short fast spin - echo T2 , axial fat suppressed gradient echo T1 , thick slap MRCP weighted sequences .",amethodortesttoobtainresults
11721,fat,,0,1,25,26,,3098298,"TECHNIQUE : MRCP of the abdomen was performed using 3 plane localizer , axial and coronal single short fast spin - echo T2 , axial fat suppressed gradient echo T1 , thick slap MRCP weighted sequences .",
13684,tumors,,0,0,3,4,A mass that may or may not be cancer.,2205968,"Grossly , the tumor does not involve the duodenal muscularis and appears to compress the pancreatic duct .",amassthatmayormaynotbecancer
12851,duodenal,,0,0,8,10,"Having to do with the duodenum, which is the first part of the small intestine.",2205968,"Grossly , the tumor does not involve the duodenal muscularis and appears to compress the pancreatic duct .",havingtodowiththeduodenumwhichisthefirstpartofthesmallintestine
29784,compressed,,0,0,13,14,To put pressure on something.,2205968,"Grossly , the tumor does not involve the duodenal muscularis and appears to compress the pancreatic duct .",toputpressureonsomething
13552,grossly,,0,0,0,1,As seen without detailed inspection. Can also mean easily seen.,2205968,"Grossly , the tumor does not involve the duodenal muscularis and appears to compress the pancreatic duct .",asseenwithoutdetailedinspectioncanalsomeaneasilyseen
6412,pancreatic duct,,0,0,15,17,A tube that carries digestive juices from the pancreas to the bowels.,2205968,"Grossly , the tumor does not involve the duodenal muscularis and appears to compress the pancreatic duct .",atubethatcarriesdigestivejuicesfromthepancreastothebowels
3225,bone,,0,1,57,58,,3290369,"The socket was removed , then using an Inplex tool and there was extensive osteolytic areas behind the socket corresponding to the screw holes in the socket and there was a large , very large medial wall expansile lesion that extended into the anterior column and then went into the soft tissues , it went through the bone .",
7370,soft tissue,,0,0,50,52,"Parts of the body that connect bones or surround organs. These include fat, muscle, tendons, ligaments, fibrous tissue, blood vessels, lymph vessels, nerves and membranes.",3290369,"The socket was removed , then using an Inplex tool and there was extensive osteolytic areas behind the socket corresponding to the screw holes in the socket and there was a large , very large medial wall expansile lesion that extended into the anterior column and then went into the soft tissues , it went through the bone .",partsofthebodythatconnectbonesorsurroundorganstheseincludefatmuscletendonsligamentsfibroustissuebloodvesselslymphvesselsnervesandmembranes
5715,medial wall,,0,0,35,37,"The inner wall of the eye socket, near the nose.",3290369,"The socket was removed , then using an Inplex tool and there was extensive osteolytic areas behind the socket corresponding to the screw holes in the socket and there was a large , very large medial wall expansile lesion that extended into the anterior column and then went into the soft tissues , it went through the bone .",theinnerwalloftheeyesocketnearthenose
11393,lesions,,0,0,38,39,Any damage or abnormal change in the tissue. It is usually caused by disease or injury.,3290369,"The socket was removed , then using an Inplex tool and there was extensive osteolytic areas behind the socket corresponding to the screw holes in the socket and there was a large , very large medial wall expansile lesion that extended into the anterior column and then went into the soft tissues , it went through the bone .",anydamageorabnormalchangeinthetissueitisusuallycausedbydiseaseorinjury
6351,osteolytic,,0,0,14,15,"Loss of calcium in the bone, causing the breakdown of bone.",3290369,"The socket was removed , then using an Inplex tool and there was extensive osteolytic areas behind the socket corresponding to the screw holes in the socket and there was a large , very large medial wall expansile lesion that extended into the anterior column and then went into the soft tissues , it went through the bone .",lossofcalciuminthebonecausingthebreakdownofbone
15089,expansile,,0,0,37,38,Able to be expanded.,3290369,"The socket was removed , then using an Inplex tool and there was extensive osteolytic areas behind the socket corresponding to the screw holes in the socket and there was a large , very large medial wall expansile lesion that extended into the anterior column and then went into the soft tissues , it went through the bone .",abletobeexpanded
16343,anterior column,,0,0,43,45,The front of the bones that form the pelvis.,3290369,"The socket was removed , then using an Inplex tool and there was extensive osteolytic areas behind the socket corresponding to the screw holes in the socket and there was a large , very large medial wall expansile lesion that extended into the anterior column and then went into the soft tissues , it went through the bone .",thefrontofthebonesthatformthepelvis
11597,extends,,0,0,40,41,Going out into.,3290369,"The socket was removed , then using an Inplex tool and there was extensive osteolytic areas behind the socket corresponding to the screw holes in the socket and there was a large , very large medial wall expansile lesion that extended into the anterior column and then went into the soft tissues , it went through the bone .",goingoutinto
19455,socket,,0,0,18,19,A hollow or opening that serves as a holder for something. Some bones are connected with ball and socket joints.,3290369,"The socket was removed , then using an Inplex tool and there was extensive osteolytic areas behind the socket corresponding to the screw holes in the socket and there was a large , very large medial wall expansile lesion that extended into the anterior column and then went into the soft tissues , it went through the bone .",aholloworopeningthatservesasaholderforsomethingsomebonesareconnectedwithballandsocketjoints
14526,screw,,0,0,22,23,A threaded device used in surgery to fix broken bones.,3290369,"The socket was removed , then using an Inplex tool and there was extensive osteolytic areas behind the socket corresponding to the screw holes in the socket and there was a large , very large medial wall expansile lesion that extended into the anterior column and then went into the soft tissues , it went through the bone .",athreadeddeviceusedinsurgerytofixbrokenbones
19455,socket,,0,0,26,27,A hollow or opening that serves as a holder for something. Some bones are connected with ball and socket joints.,3290369,"The socket was removed , then using an Inplex tool and there was extensive osteolytic areas behind the socket corresponding to the screw holes in the socket and there was a large , very large medial wall expansile lesion that extended into the anterior column and then went into the soft tissues , it went through the bone .",aholloworopeningthatservesasaholderforsomethingsomebonesareconnectedwithballandsocketjoints
19455,socket,,0,0,1,2,A hollow or opening that serves as a holder for something. Some bones are connected with ball and socket joints.,3290369,"The socket was removed , then using an Inplex tool and there was extensive osteolytic areas behind the socket corresponding to the screw holes in the socket and there was a large , very large medial wall expansile lesion that extended into the anterior column and then went into the soft tissues , it went through the bone .",aholloworopeningthatservesasaholderforsomethingsomebonesareconnectedwithballandsocketjoints
1136,status post,,0,0,0,2,After having a treatment or illness.,3082255,Status post recent acute cardiac event with election for conservative management .,afterhavingatreatmentorillness
14534,medical management,,0,0,10,11,Being treated for a condition and followed up.,3082255,Status post recent acute cardiac event with election for conservative management .,beingtreatedforaconditionandfollowedup
14611,conservative,,0,0,9,10,Management or treatment of a disease that does not involve surgery.,3082255,Status post recent acute cardiac event with election for conservative management .,managementortreatmentofadiseasethatdoesnotinvolvesurgery
10603,cardiac,,0,0,4,5,Having to do with the heart.,3082255,Status post recent acute cardiac event with election for conservative management .,havingtodowiththeheart
10614,acute,,0,0,3,4,New or sudden. May be severe.,3082255,Status post recent acute cardiac event with election for conservative management .,neworsuddenmaybesevere
26579,election,,0,0,7,8,A choice.,3082255,Status post recent acute cardiac event with election for conservative management .,achoice
11796,hepatic,,0,0,10,11,Having to do with the liver.,1613769,"CLINICAL HISTORY : Post OLTX , low RIs concern regarding hepatic arterial stenosis .",havingtodowiththeliver
13123,post,,0,0,3,4,After a procedure or event.,1613769,"CLINICAL HISTORY : Post OLTX , low RIs concern regarding hepatic arterial stenosis .",afteraprocedureorevent
18199,clinical history,,0,0,0,2,Past symptoms and test results that may relate to a current illness.,1613769,"CLINICAL HISTORY : Post OLTX , low RIs concern regarding hepatic arterial stenosis .",pastsymptomsandtestresultsthatmayrelatetoacurrentillness
140,arterial,,0,0,11,12,A blood vessel that carries blood away from the heart to all parts of the body.,1613769,"CLINICAL HISTORY : Post OLTX , low RIs concern regarding hepatic arterial stenosis .",abloodvesselthatcarriesbloodawayfromthehearttoallpartsofthebody
10950,stenosis,,0,0,12,13,"Narrowing of a blood vessel or valve, or a canal. This decreases the amount of blood or other liquid flowing through these structures.",1613769,"CLINICAL HISTORY : Post OLTX , low RIs concern regarding hepatic arterial stenosis .",narrowingofabloodvesselorvalveoracanalthisdecreasestheamountofbloodorotherliquidflowingthroughthesestructures
23613,colliculus,,0,0,22,23,One of several small swellings in the top of the midbrain. They have a role in vision and hearing.,2053790,"DISCUSSION : There is hemorrhage identified within the right thalamus , right cerebral peduncle , and right pons extending into the right colliculus and left colliculus .",oneofseveralsmallswellingsinthetopofthemidbraintheyhavearoleinvisionandhearing
16086,extending,,0,0,18,19,Moving into an area.,2053790,"DISCUSSION : There is hemorrhage identified within the right thalamus , right cerebral peduncle , and right pons extending into the right colliculus and left colliculus .",movingintoanarea
11749,hemorrhage,,0,0,4,5,To bleed.,2053790,"DISCUSSION : There is hemorrhage identified within the right thalamus , right cerebral peduncle , and right pons extending into the right colliculus and left colliculus .",tobleed
1449,cerebral,,0,0,12,14,"Having to do with the cerebrum, which is the large, outer part of the brain. It controls reading, thinking, learning, speech, emotions and planned muscle movements like walking. It also controls vision, hearing and other senses.",2053790,"DISCUSSION : There is hemorrhage identified within the right thalamus , right cerebral peduncle , and right pons extending into the right colliculus and left colliculus .",havingtodowiththecerebrumwhichisthelargeouterpartofthebrainitcontrolsreadingthinkinglearningspeechemotionsandplannedmusclemovementslikewalkingitalsocontrolsvisionhearingandothersenses
9752,pons,,0,0,17,18,"The part of the brain that regulates breathing, as well as hearing, taste, and balance.",2053790,"DISCUSSION : There is hemorrhage identified within the right thalamus , right cerebral peduncle , and right pons extending into the right colliculus and left colliculus .",thepartofthebrainthatregulatesbreathingaswellashearingtasteandbalance
7928,thalamus,,0,0,9,10,An area of the brain. It helps process information from the senses and transmits it to other parts of the brain.,2053790,"DISCUSSION : There is hemorrhage identified within the right thalamus , right cerebral peduncle , and right pons extending into the right colliculus and left colliculus .",anareaofthebrainithelpsprocessinformationfromthesensesandtransmitsittootherpartsofthebrain
14330,comminuted,,0,0,5,6,A bone break in which there are multiple fragments or the bone is crushed.,2539460,Interlocking nail and screw transfixes comminuted midshaft femoral fracture .,abonebreakinwhichtherearemultiplefragmentsortheboneiscrushed
11292,fractures,,0,0,8,9,Broken bone.,2539460,Interlocking nail and screw transfixes comminuted midshaft femoral fracture .,brokenbone
23366,midshaft femoral,,0,0,6,8,The middle of the thigh bone.,2539460,Interlocking nail and screw transfixes comminuted midshaft femoral fracture .,themiddleofthethighbone
14526,screw,,0,0,3,4,A threaded device used in surgery to fix broken bones.,2539460,Interlocking nail and screw transfixes comminuted midshaft femoral fracture .,athreadeddeviceusedinsurgerytofixbrokenbones
23367,transfixes,,0,0,4,5,Pierced in order to create a join.,2539460,Interlocking nail and screw transfixes comminuted midshaft femoral fracture .,piercedinordertocreateajoin
21841,pro re nata,,0,0,17,18,When needed.,2453392,"Hyopalbuminemia Plan : Start "" Banna bag "" avoid wernekies Ativan 1 - 2 mg iv Q30min PRN and if needed change to drip Emperic Avalox .",whenneeded
10726,intravenous,,0,0,15,16,When fluids and medicine are put directly into a vein with a needle.,2453392,"Hyopalbuminemia Plan : Start "" Banna bag "" avoid wernekies Ativan 1 - 2 mg iv Q30min PRN and if needed change to drip Emperic Avalox .",whenfluidsandmedicineareputdirectlyintoaveinwithaneedle
26592,avalox,,1,0,25,26,,2453392,"Hyopalbuminemia Plan : Start "" Banna bag "" avoid wernekies Ativan 1 - 2 mg iv Q30min PRN and if needed change to drip Emperic Avalox .",
10574,ativan,,0,0,10,11,A drug used to help with anxiety.,2453392,"Hyopalbuminemia Plan : Start "" Banna bag "" avoid wernekies Ativan 1 - 2 mg iv Q30min PRN and if needed change to drip Emperic Avalox .",adrugusedtohelpwithanxiety
18373,q30min,,0,0,16,17,Every 30 minutes.,2453392,"Hyopalbuminemia Plan : Start "" Banna bag "" avoid wernekies Ativan 1 - 2 mg iv Q30min PRN and if needed change to drip Emperic Avalox .",every30minutes
12126,drip,,0,0,23,24,A slow infusion of a medication via a tube into a vein.,2453392,"Hyopalbuminemia Plan : Start "" Banna bag "" avoid wernekies Ativan 1 - 2 mg iv Q30min PRN and if needed change to drip Emperic Avalox .",aslowinfusionofamedicationviaatubeintoavein
2040,milligram,,0,0,14,15,One thousandth of a gram. Drugs are often measured in milligrams.,2453392,"Hyopalbuminemia Plan : Start "" Banna bag "" avoid wernekies Ativan 1 - 2 mg iv Q30min PRN and if needed change to drip Emperic Avalox .",onethousandthofagramdrugsareoftenmeasuredinmilligrams
14705,respiratory rate,,0,0,304,305,How often someone is breathing.,2016095,"Denies any other complaints . - - - - Past Medical History : Condition 1 : Systolic Heart Failure ; Comments : EF 10 - 15 % ; Condition 2 : DMII ; Condition 3 : CAD ; Comments : s / p LAD stent ; Condition 4 : CKD ; Comments : baseline Cr 1.5 - 2.0 - - - - ALLERGIES : NKA - - - - * * INSTITUTION Situation : lives in * * INSTITUTION skilled nursing facility since last hospitalization ; POA / Decision Maker : * * NAME[ZZZ ] ( son ) who lives in California ; Tobacco : Comments : remote tobacco use ; EtOH : none - - - - Family History : non - contributory - - - - REVIEW OF SYSTEMS : Eyes : Negative ; Ears , Nose , Mouth / Throat : Negative ; Cardiovascular : Positive ; Respiratory : Positive ; Gastrointestinal : Negative ; Genitourinary : Negative ; Musculoskeletal : Negative ; Neurological : Negative ; Psychiatric : Negative ; Endocrine : Negative ; Hematologic | Lymphatic : Negative ; Skin : Negative - - - - GENERAL EXAM ( Select "" not examined "" for any organ system note examined because such examination is not medically necessary for this encounter ) Rounding Report Vitals : VITALS TIME : * * DATE [ Nov 17 2009 ] 16:33 VITALS : * * DATE [ Nov 17 ] 08:30 T : 35.9 BP:110/50 P : 86 RR : 20 SaO2 : 99 FiO2 : 10 Ht : Wt : * * DATE [ Nov 17 ] 06 : 45 T : BP:106/52 P : 75 RR : 18 SaO2:100 FiO2 : Ht : Wt : * * DATE [ Nov 17 ] 03:30 T : BP : 99/40 P : 77 RR : 18 SaO2 : 97 FiO2 : 80 Ht : Wt : * * DATE [ Nov 16 ] 20:00 T : 37.0 BP:104/40 P : 88 RR : 18 SaO2 : 97 FiO2 : 80 Ht : Wt : 24 Hr Max Temp:37.0 36 Hr Max Temp:37.0 CURRENT VITALS : Pulse : 86 ; Blood pressure : 110/50 ; Respiratory : 20 ; Temp : 35.9 ; degrees ( C ) - - - - Constitutional : No acute distress ; Other : elderly male lying comfortably in bed Eyes : EOMI ; * * NAME[ZZZ ] Ears , Nose , Mouth & amp ; Throat : Moist mucosa ; Neck supple ; Hearing grossly normal ; Other : JVP to earlobe w / HOb at 45 degrees Respiratory : Other : bibasilar crackles Cardiovascular : RRR ; Normal S1 , S2 ; Other : + holosystolic murmur Gastrointestinal : Soft ; Nontender ; BS Present ; No rebound guarding distendgrp : Nondistended Extremities : No erythema ; Other : ( attending ) : 2 + edema to upper shins Neurologic : Awake , alert , oriented x3 CAM : Negative Integumentary / Skin : Normal Musculoskeletal : Not examined Genitourinary : Not examined Rectal / Pelvic : Not examined Breasts : Not examined Other exam findings : R sided PICC line in place - - - - Imaging : * * DATE [ Nov 17 09 ] CXR : Gross cardiomegaly , severe interstitial pulmonary edema , minimal right pleural effusion and both lower lobe compression atelectasis persists .",howoftensomeoneisbreathing
10710,oriented,,0,0,492,493,"Describes a patient who can state name, current location, date and other facts.",2016095,"Denies any other complaints . - - - - Past Medical History : Condition 1 : Systolic Heart Failure ; Comments : EF 10 - 15 % ; Condition 2 : DMII ; Condition 3 : CAD ; Comments : s / p LAD stent ; Condition 4 : CKD ; Comments : baseline Cr 1.5 - 2.0 - - - - ALLERGIES : NKA - - - - * * INSTITUTION Situation : lives in * * INSTITUTION skilled nursing facility since last hospitalization ; POA / Decision Maker : * * NAME[ZZZ ] ( son ) who lives in California ; Tobacco : Comments : remote tobacco use ; EtOH : none - - - - Family History : non - contributory - - - - REVIEW OF SYSTEMS : Eyes : Negative ; Ears , Nose , Mouth / Throat : Negative ; Cardiovascular : Positive ; Respiratory : Positive ; Gastrointestinal : Negative ; Genitourinary : Negative ; Musculoskeletal : Negative ; Neurological : Negative ; Psychiatric : Negative ; Endocrine : Negative ; Hematologic | Lymphatic : Negative ; Skin : Negative - - - - GENERAL EXAM ( Select "" not examined "" for any organ system note examined because such examination is not medically necessary for this encounter ) Rounding Report Vitals : VITALS TIME : * * DATE [ Nov 17 2009 ] 16:33 VITALS : * * DATE [ Nov 17 ] 08:30 T : 35.9 BP:110/50 P : 86 RR : 20 SaO2 : 99 FiO2 : 10 Ht : Wt : * * DATE [ Nov 17 ] 06 : 45 T : BP:106/52 P : 75 RR : 18 SaO2:100 FiO2 : Ht : Wt : * * DATE [ Nov 17 ] 03:30 T : BP : 99/40 P : 77 RR : 18 SaO2 : 97 FiO2 : 80 Ht : Wt : * * DATE [ Nov 16 ] 20:00 T : 37.0 BP:104/40 P : 88 RR : 18 SaO2 : 97 FiO2 : 80 Ht : Wt : 24 Hr Max Temp:37.0 36 Hr Max Temp:37.0 CURRENT VITALS : Pulse : 86 ; Blood pressure : 110/50 ; Respiratory : 20 ; Temp : 35.9 ; degrees ( C ) - - - - Constitutional : No acute distress ; Other : elderly male lying comfortably in bed Eyes : EOMI ; * * NAME[ZZZ ] Ears , Nose , Mouth & amp ; Throat : Moist mucosa ; Neck supple ; Hearing grossly normal ; Other : JVP to earlobe w / HOb at 45 degrees Respiratory : Other : bibasilar crackles Cardiovascular : RRR ; Normal S1 , S2 ; Other : + holosystolic murmur Gastrointestinal : Soft ; Nontender ; BS Present ; No rebound guarding distendgrp : Nondistended Extremities : No erythema ; Other : ( attending ) : 2 + edema to upper shins Neurologic : Awake , alert , oriented x3 CAM : Negative Integumentary / Skin : Normal Musculoskeletal : Not examined Genitourinary : Not examined Rectal / Pelvic : Not examined Breasts : Not examined Other exam findings : R sided PICC line in place - - - - Imaging : * * DATE [ Nov 17 09 ] CXR : Gross cardiomegaly , severe interstitial pulmonary edema , minimal right pleural effusion and both lower lobe compression atelectasis persists .",describesapatientwhocanstatenamecurrentlocationdateandotherfacts
22040,no known allergies,,0,0,64,65,The patient is not allergic to anything they know of.,2016095,"Denies any other complaints . - - - - Past Medical History : Condition 1 : Systolic Heart Failure ; Comments : EF 10 - 15 % ; Condition 2 : DMII ; Condition 3 : CAD ; Comments : s / p LAD stent ; Condition 4 : CKD ; Comments : baseline Cr 1.5 - 2.0 - - - - ALLERGIES : NKA - - - - * * INSTITUTION Situation : lives in * * INSTITUTION skilled nursing facility since last hospitalization ; POA / Decision Maker : * * NAME[ZZZ ] ( son ) who lives in California ; Tobacco : Comments : remote tobacco use ; EtOH : none - - - - Family History : non - contributory - - - - REVIEW OF SYSTEMS : Eyes : Negative ; Ears , Nose , Mouth / Throat : Negative ; Cardiovascular : Positive ; Respiratory : Positive ; Gastrointestinal : Negative ; Genitourinary : Negative ; Musculoskeletal : Negative ; Neurological : Negative ; Psychiatric : Negative ; Endocrine : Negative ; Hematologic | Lymphatic : Negative ; Skin : Negative - - - - GENERAL EXAM ( Select "" not examined "" for any organ system note examined because such examination is not medically necessary for this encounter ) Rounding Report Vitals : VITALS TIME : * * DATE [ Nov 17 2009 ] 16:33 VITALS : * * DATE [ Nov 17 ] 08:30 T : 35.9 BP:110/50 P : 86 RR : 20 SaO2 : 99 FiO2 : 10 Ht : Wt : * * DATE [ Nov 17 ] 06 : 45 T : BP:106/52 P : 75 RR : 18 SaO2:100 FiO2 : Ht : Wt : * * DATE [ Nov 17 ] 03:30 T : BP : 99/40 P : 77 RR : 18 SaO2 : 97 FiO2 : 80 Ht : Wt : * * DATE [ Nov 16 ] 20:00 T : 37.0 BP:104/40 P : 88 RR : 18 SaO2 : 97 FiO2 : 80 Ht : Wt : 24 Hr Max Temp:37.0 36 Hr Max Temp:37.0 CURRENT VITALS : Pulse : 86 ; Blood pressure : 110/50 ; Respiratory : 20 ; Temp : 35.9 ; degrees ( C ) - - - - Constitutional : No acute distress ; Other : elderly male lying comfortably in bed Eyes : EOMI ; * * NAME[ZZZ ] Ears , Nose , Mouth & amp ; Throat : Moist mucosa ; Neck supple ; Hearing grossly normal ; Other : JVP to earlobe w / HOb at 45 degrees Respiratory : Other : bibasilar crackles Cardiovascular : RRR ; Normal S1 , S2 ; Other : + holosystolic murmur Gastrointestinal : Soft ; Nontender ; BS Present ; No rebound guarding distendgrp : Nondistended Extremities : No erythema ; Other : ( attending ) : 2 + edema to upper shins Neurologic : Awake , alert , oriented x3 CAM : Negative Integumentary / Skin : Normal Musculoskeletal : Not examined Genitourinary : Not examined Rectal / Pelvic : Not examined Breasts : Not examined Other exam findings : R sided PICC line in place - - - - Imaging : * * DATE [ Nov 17 09 ] CXR : Gross cardiomegaly , severe interstitial pulmonary edema , minimal right pleural effusion and both lower lobe compression atelectasis persists .",thepatientisnotallergictoanythingtheyknowof
